date,zone,storage_pct,daily_demand_mld,tanker_supply_mld,rainfall_deficit_pct,daily_drawdown_pct
2026-01-01,North,42,120,8,5,0.08
2026-01-02,Central,49,131,13,8,0.1
2026-01-03,South,56,142,18,11,0.12
2026-01-04,West,63,153,23,14,0.14
2026-01-05,East,70,164,10,17,0.16
2026-01-06,North,77,175,15,20,0.18
2026-01-07,Central,48,186,20,23,0.2
2026-01-08,South,55,197,25,26,0.22
2026-01-09,West,62,128,12,29,0.24
2026-01-10,East,69,139,17,32,0.08
2026-01-11,North,76,150,22,35,0.1
2026-01-12,Central,47,161,9,38,0.12
2026-01-13,South,54,172,14,41,0.14
2026-01-14,West,61,183,19,44,0.16
2026-01-15,East,68,194,24,47,0.18
2026-01-16,North,75,125,11,50,0.2
2026-01-17,Central,46,136,16,53,0.22
2026-01-18,South,53,147,21,6,0.24
2026-01-19,West,60,158,8,9,0.08
2026-01-20,East,67,169,13,12,0.1
2026-01-21,North,74,180,18,15,0.12
2026-01-22,Central,45,191,23,18,0.14
2026-01-23,South,52,122,10,21,0.16
2026-01-24,West,59,133,15,24,0.18
2026-01-25,East,66,144,20,27,0.2
2026-01-26,North,73,155,25,30,0.22
2026-01-27,Central,44,166,12,33,0.24
2026-01-28,South,51,177,17,36,0.08
2026-01-29,West,58,188,22,39,0.1
2026-01-30,East,65,199,9,42,0.12
2026-01-31,North,72,130,14,45,0.14
2026-02-01,Central,43,141,19,48,0.16
2026-02-02,South,50,152,24,51,0.18
2026-02-03,West,57,163,11,54,0.2
2026-02-04,East,64,174,16,7,0.22
2026-02-05,North,71,185,21,10,0.24
2026-02-06,Central,42,196,8,13,0.08
2026-02-07,South,49,127,13,16,0.1
2026-02-08,West,56,138,18,19,0.12
2026-02-09,East,63,149,23,22,0.14
2026-02-10,North,70,160,10,25,0.16
2026-02-11,Central,77,171,15,28,0.18
2026-02-12,South,48,182,20,31,0.2
2026-02-13,West,55,193,25,34,0.22
2026-02-14,East,62,124,12,37,0.24
2026-02-15,North,69,135,17,40,0.08
2026-02-16,Central,76,146,22,43,0.1
2026-02-17,South,47,157,9,46,0.12
2026-02-18,West,54,168,14,49,0.14
2026-02-19,East,61,179,19,52,0.16
2026-02-20,North,68,190,24,5,0.18
2026-02-21,Central,75,121,11,8,0.2
2026-02-22,South,46,132,16,11,0.22
2026-02-23,West,53,143,21,14,0.24
2026-02-24,East,60,154,8,17,0.08
2026-02-25,North,67,165,13,20,0.1
2026-02-26,Central,74,176,18,23,0.12
2026-02-27,South,45,187,23,26,0.14
2026-02-28,West,52,198,10,29,0.16
2026-03-01,East,59,129,15,32,0.18
