date,zone,storage_pct,daily_demand_mld,tanker_supply_mld,rainfall_deficit_pct,daily_drawdown_pct
2025-10-01,North Chennai,30.5,128.6,7.0,74.5,0.079
2025-10-01,Central Chennai,32.6,141.3,4.8,49.4,0.052
2025-10-01,South Chennai,30.9,158.1,8.0,82.1,0.065
2025-10-01,West Chennai,29.5,134.0,8.7,59.0,0.034
2025-10-01,East Chennai,21.9,116.9,16.5,71.6,0.033
2025-11-01,North Chennai,22.5,134.6,18.2,50.0,0.060
2025-11-01,Central Chennai,27.8,136.5,11.2,72.5,0.038
2025-11-01,South Chennai,35.1,161.7,1.5,76.0,0.055
2025-11-01,West Chennai,23.8,139.2,17.0,74.8,0.028
2025-11-01,East Chennai,25.0,98.7,10.9,80.2,0.069
2025-12-01,North Chennai,24.4,129.1,15.0,70.6,0.046
2025-12-01,Central Chennai,29.5,134.9,8.7,71.6,0.046
2025-12-01,South Chennai,32.1,170.9,6.7,51.1,0.076
2025-12-01,West Chennai,30.6,128.2,6.9,84.9,0.050
2025-12-01,East Chennai,29.0,133.4,9.3,54.4,0.043
2026-01-01,North Chennai,40.7,120.6,0.0,82.0,0.022
2026-01-01,Central Chennai,47.7,138.3,0.0,57.6,0.030
2026-01-01,South Chennai,48.2,147.3,0.0,52.3,0.015
2026-01-01,West Chennai,44.6,139.6,0.0,81.9,0.018
2026-01-01,East Chennai,36.7,111.7,0.0,85.0,0.035
2026-02-01,North Chennai,40.5,120.9,0.0,81.2,0.042
2026-02-01,Central Chennai,41.2,147.9,0.0,72.6,0.077
2026-02-01,South Chennai,44.7,158.5,0.0,56.4,0.065
2026-02-01,West Chennai,37.4,149.0,0.0,75.6,0.028
2026-02-01,East Chennai,36.3,108.8,0.0,72.0,0.061
2026-03-01,North Chennai,32.1,122.7,4.8,53.0,0.011
2026-03-01,Central Chennai,32.6,149.8,5.1,86.3,0.061
2026-03-01,South Chennai,47.0,146.6,0.0,60.6,0.054
2026-03-01,West Chennai,40.4,137.5,0.0,89.9,0.047
2026-03-01,East Chennai,35.0,99.0,1.0,52.4,0.039
2026-04-01,North Chennai,38.2,128.2,0.0,91.1,0.017
2026-04-01,Central Chennai,41.2,146.6,0.0,52.1,0.012
2026-04-01,South Chennai,49.6,151.3,0.0,48.9,0.012
2026-04-01,West Chennai,38.8,133.8,0.0,54.4,0.069
2026-04-01,East Chennai,39.6,101.5,0.0,73.1,0.050
2026-05-01,North Chennai,34.3,123.5,2.1,91.9,0.024
2026-05-01,Central Chennai,39.6,153.9,0.0,61.4,0.061
2026-05-01,South Chennai,43.7,146.8,0.0,75.0,0.016
2026-05-01,West Chennai,33.8,132.1,2.8,69.3,0.011
2026-05-01,East Chennai,31.2,104.8,5.0,83.0,0.013
2026-06-01,North Chennai,28.5,123.3,9.3,63.8,0.069
2026-06-01,Central Chennai,31.8,157.8,6.6,75.2,0.028
2026-06-01,South Chennai,45.9,164.0,0.0,79.0,0.045
2026-06-01,West Chennai,31.4,124.9,5.8,76.5,0.077
2026-06-01,East Chennai,29.9,106.2,6.5,63.2,0.041
2026-07-01,North Chennai,37.3,125.3,0.0,76.3,0.023
2026-07-01,Central Chennai,37.4,146.5,0.0,55.0,0.077
2026-07-01,South Chennai,41.8,148.5,0.0,79.1,0.028
2026-07-01,West Chennai,35.9,131.6,0.2,80.1,0.018
2026-07-01,East Chennai,26.2,114.2,11.2,52.9,0.041
2026-08-01,North Chennai,31.5,131.5,5.9,60.5,0.074
2026-08-01,Central Chennai,30.5,135.3,7.4,64.1,0.072
2026-08-01,South Chennai,39.9,150.7,0.0,80.6,0.057
2026-08-01,West Chennai,24.8,144.3,16.1,60.1,0.077
2026-08-01,East Chennai,22.6,120.8,16.2,83.7,0.024
2026-09-01,North Chennai,48.2,125.5,2.4,74.4,0.068
2026-09-01,Central Chennai,45.2,137.5,5.7,79.1,0.079
2026-09-01,South Chennai,55.0,145.9,0.0,91.4,0.041
2026-09-01,West Chennai,35.6,145.5,15.8,73.9,0.023
2026-09-01,East Chennai,35.9,107.0,11.5,59.8,0.014
